day,month,year,no1,top2,top3,bottom2,front3_1,front3_2,bottom3_1,bottom3_2
1,7,2018,963623,23,623,83,429,901,210,217
16,6,2018,223131,31,131,46,432,507,132,868
1,6,2018,988117,17,117,95,310,553,248,650
16,5,2018,075629,29,629,20,130,357,047,506
2,5,2018,248038,38,038,85,527,980,225,602
16,4,2018,739229,29,229,60,273,654,076,526
1,4,2018,412073,73,073,85,131,787,638,924
16,3,2018,218559,59,559,82,064,720,205,489
2,3,2018,759415,15,415,29,318,870,589,723
16,2,2018,309915,15,915,39,007,388,230,748
1,2,2018,026853,53,853,31,106,947,181,519
17,1,2018,203823,23,823,50,624,799,236,397
30,12,2017,911234,34,234,98,373,495,504,953
16,12,2017,955596,96,596,89,616,836,290,938
1,12,2017,451005,05,005,33,303,626,257,601
16,11,2017,292391,91,391,98,831,961,477,628
1,11,2017,533726,26,726,85,165,425,036,485
16,10,2017,413494,94,494,86,180,971,128,287
1,10,2017,880714,14,714,52,611,726,462,952
16,9,2017,170143,43,143,71,172,647,340,388
1,9,2017,143224,24,224,65,345,679,195,278
16,8,2017,715431,31,431,37,115,302,253,945
1,8,2017,756519,19,519,36,061,386,787,989
16,7,2017,820327,27,327,87,584,835,390,823
1,7,2017,112360,60,360,26,226,489,005,688
16,6,2017,943142,42,142,47,626,878,373,740
1,6,2017,053630,30,630,61,121,218,581,881
16,5,2017,454891,91,891,53,008,396,490,603
2,5,2017,008656,56,656,35,573,949,773,923
16,4,2017,816729,29,729,40,766,973,241,807
1,4,2017,392785,85,785,80,020,057,500,709
16,3,2017,273863,63,863,92,324,918,694,941
1,3,2017,978453,53,453,78,450,560,052,577
16,2,2017,229116,16,116,14,128,464,375,953
1,2,2017,054672,72,672,42,066,807,426,628
17,1,2017,145157,57,157,25,511,663,516,836
30,12,2016,377712,12,712,46,304,890,477,769
16,12,2016,435286,86,286,35,366,596,199,716
1,12,2016,086069,69,069,77,513,873,148,450
16,11,2016,858383,83,383,44,040,682,558,570
1,11,2016,785438,38,438,86,824,976,038,752
16,10,2016,571947,47,947,98,692,885,032,587
1,10,2016,887102,02,102,33,194,280,017,458
16,9,2016,240650,50,650,42,493,583,043,160
1,9,2016,638684,84,684,62,334,335,630,669
16,8,2016,254004,04,004,33,366,966,596,631
1,8,2016,272932,32,932,57,538,983,472,871
16,7,2016,449764,64,764,55,552,734,158,925
1,7,2016,082460,60,460,53,169,609,173,302
16,6,2016,073816,16,816,79,251,804,321,749
1,6,2016,511825,25,825,14,111,775,880,937
16,5,2016,141737,37,737,98,382,975,087,268
2,5,2016,399459,59,459,02,238,403,046,671
16,4,2016,221609,09,609,87,008,228,507,523
1,4,2016,066720,20,720,92,390,546,285,852
16,3,2016,134918,18,918,32,855,877,004,973
1,3,2016,439686,86,686,06,426,530,155,743
16,2,2016,356364,64,364,98,312,699,309,535
1,2,2016,927800,00,800,09,625,999,054,076
17,1,2016,304371,71,371,50,031,532,743,786
30,12,2015,008217,17,217,02,246,264,596,895
17,12,2015,930255,55,255,08,140,250,094,638
1,12,2015,915350,50,350,78,238,181,714,175
16,11,2015,795283,83,283,03,241,028,643,802
1,11,2015,361211,11,211,45,106,757,166,473
16,10,2015,968630,30,630,62,457,134,412,054
1,10,2015,594825,25,825,07,175,918,440,799
16,9,2015,743148,48,148,06,435,209,375,084
1,9,2015,021094,94,094,89,260,403,068,819
16,8,2015,033363,63,363,40,781,227,624,648
1,8,2015,518677,77,677,53,333,598,648,889
16,7,2015,121507,07,507,49,761,461,830,294
1,7,2015,759049,49,049,26,565,814,081,567
16,6,2015,644742,42,742,05,429,253,386,532
2,6,2015,388881,81,881,65,314,700,876,969
16,5,2015,011421,21,421,38,799,484,851,928
2,5,2015,543466,66,466,30,818,163,366,195
16,4,2015,506260,60,260,38,101,164,495,973
1,4,2015,605704,04,704,70,558,962,557,861
16,3,2015,048151,51,151,92,339,622,623,757
1,3,2015,240237,37,237,34,498,031,857,008
16,2,2015,001864,64,864,90,843,103,825,392
1,2,2015,155537,37,537,79,083,286,813,008
16,1,2015,244351,51,351,74,068,398,595,877
30,12,2014,461704,04,704,57,853,982,535,950
16,12,2014,948354,54,354,90,080,763,775,901
1,12,2014,480449,49,449,11,820,380,580,161
16,11,2014,479804,04,804,25,179,422,480,709
1,11,2014,206608,08,608,44,607,203,855,979
16,10,2014,656409,09,409,94,647,784,848,910
1,10,2014,375615,15,615,44,251,086,159,520
16,9,2014,772269,69,269,35,112,257,342,790
1,9,2014,856763,63,763,22,308,912,477,490
16,8,2014,662842,42,842,91,639,912,187,633
1,8,2014,766391,91,391,82,349,576,623,637
16,7,2014,468728,28,728,45,104,944,117,205
1,7,2014,378477,77,477,39,123,271,441,864
16,6,2014,673920,20,920,95,158,140,639,576
1,6,2014,781198,98,198,18,160,324,409,636
16,5,2014,087523,23,523,20,150,505,112,246
2,5,2014,103297,97,297,52,143,158,673,797
16,4,2014,153406,06,406,26,344,013,355,634
1,4,2014,028866,66,866,95,186,499,835,938
16,3,2014,531404,04,404,79,250,305,400,904
1,3,2014,906318,18,318,35,116,537,753,798
16,2,2014,384245,45,245,01,397,530,074,521
1,2,2014,180149,49,149,95,406,492,888,976
16,1,2014,306902,02,902,52,242,077,149,510
30,12,2013,561072,72,072,48,513,750,503,275
16,12,2013,341767,67,767,79,111,228,742,826
1,12,2013,168795,95,795,27,734,766,074,980
16,11,2013,806925,25,925,28,069,304,672,753
1,11,2013,739804,04,804,47,502,020,256,173
16,10,2013,963289,89,289,60,402,529,876,952
1,10,2013,647882,82,882,14,576,324,650,028
16,9,2013,562684,84,684,63,056,235,574,754
1,9,2013,548123,23,123,05,281,570,800,045
16,8,2013,321327,27,327,20,417,945,448,201
1,8,2013,356435,35,435,82,880,451,718,329
16,7,2013,566996,96,996,86,352,210,584,526
1,7,2013,646905,05,905,51,075,284,903,904
16,6,2013,289673,73,673,69,390,098,114,502
1,6,2013,935489,89,489,90,480,713,716,768
16,5,2013,687125,25,125,56,034,261,390,945
2,5,2013,603458,58,458,07,272,359,516,830
16,4,2013,843846,46,846,86,834,862,906,828
1,4,2013,571688,88,688,53,170,430,670,725
16,3,2013,968433,33,433,52,860,959,175,529
1,3,2013,976241,41,241,37,972,721,133,775
16,2,2013,368257,57,257,09,657,708,109,386
1,2,2013,565566,66,566,66,452,695,641,782
16,1,2013,820981,81,981,08,555,196,374,334
30,12,2012,302358,58,358,00,589,864,126,832
16,12,2012,529524,24,524,72,734,745,778,008
1,12,2012,110443,43,443,43,434,553,489,303
16,11,2012,639500,00,500,15,576,560,804,627
1,11,2012,524694,94,694,63,217,188,285,338
16,10,2012,281343,43,343,28,152,089,396,868
1,10,2012,124025,25,025,58,940,554,291,873
16,9,2012,540143,43,143,79,242,752,123,770
1,9,2012,329997,97,997,07,736,598,148,639
16,8,2012,683877,77,877,28,032,612,775,730
1,8,2012,895590,90,590,50,820,599,796,745
16,7,2012,904050,50,050,11,897,224,159,042
1,7,2012,915900,00,900,60,715,656,530,611
